Input: Performing inspection go to building A, building B, and building C.
Buildings: building A, building, building C.

Input: Performing inspection go to building A, building B, and building C.
Buildings: building B

Input: Performing inspection go to building A, building B, and building C.
Buildings: building A, building, building C.

Input: Begin inspection for building A, building B, and building C.
Building IDs: B

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C.

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C.
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B, and building C
Building IDs: A, B, C

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

